Keyword,Machine translation,Human translation (if necessary),Notes,Category,Source,Source2,Source3
中南海保密风暴内幕,Zhongnanhai confidential insider Storm,Zhongnanhai secret behind the scenes tempest,"Refers to title of document in source, which is about the Rio Tinto sp scandal",Corruption Scandals,http://www.aboluowang.com/2009/0819/140718.html#.UmtM8fmsim5,http://en.wikipedia.org/wiki/Rio_Tinto_espionage_case,
遭迫害弟子劳教所,Persecuted disciples Labor Camp,"Persecuted followers, labor camp",Falun gong related.,Religion -- Falun Gong,http://en.minghui.org/html/articles/2013/8/4/141365.html,http://en.minghui.org/html/articles/2013/4/25/139054.html,http://en.minghui.org/html/articles/2012/12/28/136810.html
周永康 镇压法,Zhou Yongkang repressive law,"Zhou Yongkang, Suppress Fa(lun gong)","Zhou Yongkang, former Politburo Standing Ctte member and known as China ""security tsar"" headed a number of efforts to crack down on religious cults, including Falun Gong. He is now allegedly being investigated for corruption.",Zhou Yongkang,http://www.scmp.com/news/china/article/1336219/xi-sets-special-unit-probe-zhou-yongkang-corruption-case,http://en.minghui.org/html/articles/2012/4/30/132989.html,http://www.youmaker.com/video/svb5-71191aab2093464d934de2b96e0efb21.html.%E5%91%A8%E6%B0%B8%E5%BA%B7%E5%A8%81%E8%84%85%E6%BA%AB%E5%AE%B6%E5%AF%B6-%E9%A6%99%E6%B8%AF%E5%90%B3%E5%BA%B7%E6%B0%91%E6%94%B6%E5%88%B0%E7%A5%9E%E7%A7%98%E5%8F%A3%E8%A2%8B.html
郑存柱胡锦涛,Hu Zheng Cunzhu,Zheng Cunzhu and Hu Jintao,Democracy activist open leter to Hu?,Dissident / Activist,http://www.theepochtimes.com/news/7-11-7/61734.html,http://en.wikipedia.org/wiki/New_Democracy_Party_of_China,
谴责中共镇压NTDTV,Condemned the Chinese Communist repression NTDTV,Denounce the CCP's suppression of... NTDTV,"New Tang Dynasty TV is a television station aimed at overseas Chinese that is strongly associated with Falun Gong. The phrase is not about criticizing the CCP's supression of NTDTV specifically, but rather the phrase is a commonly used one on NTDTV's website, with NTDTV using it in headlines and stories to denounce the CCP's surpression of things ranging from Tibetans to Uighyurs to etc.",Communist Party of China (CPC) -- Criticism,https://www.google.com/#q=%22%E8%B0%B4%E8%B4%A3%E4%B8%AD%E5%85%B1%E9%95%87%E5%8E%8B%22+site:ntdtv.com,,
灭中共保平安,Destroy the CCP security and peace,Extinguish the CCP; Defend Security and Peace,Most links with this keywords refer to the Tuidang movement--the leave the CCP party promoted by Falun Gong media.,Communist Party of China (CPC) -- Criticism,http://boxun.com/forum/ziyou/14993.shtml,http://en.wikipedia.org/wiki/Tuidang_movement,
鲍彤先生六四,Mr. Bao Tiananmen,"Bao Tong, June 4","former Director of the Office of Political Reform of the CPC Central Committee and the Policy Secretary of Zhao Ziyang, was purged in relation to his support of Zhao, who was against the crackdown on the students",Tiananmen Square (June 4 1989),,,
马明哲温云松,Mr Ma Wen Yunsong,"Ma Mingzhe, Wen Yunsong","Ma Mingzhe is head of Ping An Insurance, which is associated with Wen Jiabao's secret family wealth. Wen Yunsong is his son.",Wen Jiaobao family wealth scandal,http://www.nytimes.com/2012/11/25/business/chinese-insurers-regulatory-win-benefits-a-leaders-family.html,,
鲍彤六四李锐,Rui Bao Tong sixty-four,"Bao Tong, June 4, Li Rui",Li Rui is retired politician of the People's Republic of China from the ruling Communist Party and vocal advocate of democratic reform in China (Wikipedia),Tiananmen Square (June 4 1989),,,
黑匣子中共,Black Box CCP,"""Black Box"", CCP",Book and movie about corruption in CCP,Corruption Scandals,,,
退党邱明伟,Resign Qiu Mingwei,"Tuidang, Qiu Mingwei",Tuidang refers to the Falun Gong-supported movement which tracks those who quit the Communist Part. Qiu Mingwei was a People's Daily manager who reportedly fled to Hong Kong  to escape persecution for participating in a pro-democracy march.,Falun Gong,http://www.theepochtimes.com/n2/china-news/peoples-daily-correspondent-flees-to-hong-kong-21221.html,,
习总夫人,Total Mrs. learning,President Xi's wife,"Peng Liyuan, wife of Xi Jinping. Not embroiled in scandal, but famous.",Relatives / Associates of Government Officials,http://blockedonweibo.tumblr.com/post/19769376982/peng-liyuan-is-a-chinese-singer-well-known,,
习总就职,Total inaugural study,President Xi takes office,,Xi Jinping,,,
十八常委内幕,Eighteen Standing Insider,"18th National Congress Standing Committee, Inside Story",,18th CPC National Congress (2012),,,
刘鹏一事件,Peng an event,Li Pengyi event,Some sort of sex scandal between Chinese Boston College students that got leaked online,Prurient Interests,http://blog.renren.com/share/224200989/14701502506,,
彭佩佩事件,Pengpei Pei event,Peng Peipei event,Some sort of sex scandal between Chinese Boston College students that got leaked online,Prurient Interests,http://blog.renren.com/share/224200989/14701502506,,
胡裸 涛,Hu Tao bare,,Some sort of reference to Hu Jintao?,Hu Jintao,,,
同仁县自焚,Tongren County immolation,,Refers to self-immolations.,Tibetan Self-immolations,http://www.rfa.org/mandarin/yataibaodao/dz-11152012154746.html,,
朱镕基家族,Zhu family,Zhu Rongji family,"Not sure whether any of his children have been mired in scandal. Zhu was widely respected for his iintellect and integrity, though his anti-corruption efforts ultimately may not have been very effective.",Relatives / Associates of Government Officials,,,
李鹏 治理,Li governance,Li Peng governance,"Refers to the former premier Li Peng, who was reviled by many for supporting the harsh crackdown on the Tiananmen protesters among other decisions",Li Peng,,,
李鹏 洗钱,Li laundering,Li Peng money laundering,Rumor that Li Peng's family had fled the country due to foreign money laundering,Corruption Scandals,http://www.bannedbook.org/bnews/cnnews/20121112/78127.html,,
巨富 27亿,Wealthy 2700000000,Enourmous sum: 2.7 billion,Refers to the reported amount of money that Wen Jiabao's family has secretly attained over the years,Wen Jiaobao family wealth scandal,,,
令计划的八宗罪,Make plans eight sins,Ling Jihua's Eight Crimes,aid to Hu Jintao who was transferred/demoted after it was revealed he tried to cover up his son's Ferrari crash,Ferrari Crash (March 2012),http://www.boxun.com/news/gb/china/2012/11/201211271229.shtml#.UoRk8Pmsim4,,
梁稳根儿子,Liang Wengen son,,"Refers to Liang Yezhong, son of Wengen who is one of China's richest men. Yezhong is now reportedly dating Xi Jinping's daughter",Relatives / Associates of Government Officials,http://www.wantchinatimes.com/news-subclass-cnt.aspx?id=20130508000010&cid=1602,,
习的女儿,Xi 's daughter,,"Xi Mingze, the 21-year-old daughter of Chinese president and Communist Party chief Xi Jinping",Relatives / Associates of Government Officials,,,
方舟子 抹黑习,Fang Xi discredit,Fang Zhouzi discredits Xi [Jinping],"Apparently there was a rumor that the anti-fraud blogger Fang Zhouzi was planning on claiming that Xi had a fake diploma, but he came out to deny those rumors",Communist Party of China (CPC) -- Criticism,http://www.ntdtv.com/xtr/gb/2012/10/06/a775912.html.-%E6%96%B9%E8%88%9F%E5%AD%90%E5%90%A6%E8%AE%A4%E6%8A%B9%E9%BB%91%E4%B9%A0-%E5%BC%95%E7%BD%91%E5%8F%8B%E5%BE%AE%E5%8D%9A%E4%BA%AE%E8%AF%81%E6%8D%AE.html,,
六月四 暴动,June 4 riot,,,Tiananmen Square (June 4 1989),,,
血洗京城,Bloodbath capital,,refers to June 4,Tiananmen Square (June 4 1989),,,
勇康政变,Yong Kang coup,[Zhou] Yongkang coup,refers to supposed coup being planned by Zhou Yongkang against Wen and Hu in order to protect Bo Xilai,Zhou Yongkang,,,
和田暴乱,Wada riot,,Ethnic riots between Uyghurs and security forces in 2011 and 2013.,Uyghur,http://www.nytimes.com/2013/06/29/world/asia/violence-erupts-anew-in-volatile-western-china-region.html,http://www.farwestchina.com/2011/07/what-really-happened-in-the-hotan-riots.html,
北京大学教授巩献田,Peking University Professor Gong Xiantian,Peking University Professor Gong Xiantian,professor was an ardent critic of the new property law which allowed for an increasing level of privatization of land in China; he claimed that it didn't do enough to protect citizens.,Dissident / Activist,,,
政治 内幕,Political Insider,,,Corruption Scandals,,,
胡派系,Hu factions,Hu [Jintao] factions,,Communist Party of China (CPC) -- General CPC,,,
港媒预测,Hong Kong media forecast,Hong Kong media predictions,Perhaps about who the future 18th National Congress Standing Committee members would be and what the new themes of the administration would be?,18th CPC National Congress (2012),http://news.sina.com.cn/c/2013-10-30/111428571342.shtml,,
聚集 海南岛,Gathered Hainan Island,"gathering, Hainan",Something to do with the economic forum in Hainan (the Boao Forum for Asia)? Or a military aircraft accident on Hainan? http://en.wikipedia.org/wiki/Hainan_Island_incident ,Context unclear,,,
北京频传江病危,Beijing pouring Jiang dying,"Beijing, repeatedly broadcast, Jiang Zemin critically ill",rumor that Jiang Zemin is dying,Jiang Zemin death rumour,,,
《陈希同亲述》, Chen Xitong pro- state ,"""Conversations with Chen Xitong""","Chen was Beijing politician brought down by a scandal. Previously, he was also a public gov face of the Tiananmen crackdown. Conversation with Chen Xitong is a 2012 book wherein the author quotes Chen as denying much of his involvement in the crackdown on Tiananmen, pinning the blame on others, saying he was mayor in name only and that others made the crucial decisions.",Tiananmen Square (June 4 1989),http://www.bbc.co.uk/zhongwen/simp/china/2013/06/130605_profile_chen_xitong.shtml,,
集会地点 茉莉花,Jasmine venue,"Gathering point, Jasmine [Revolution]",potential keyword for organizing protests,Jasmine Revolution,,,
赵紫 阳,Zhao Ziyang,,,CPC member / Gov official,,,
《李鹏日记》, Li Peng Diaries,,"A book of Li Peng’s supposed diary entries entitled The Critical Moment was planned for release in 2010, but it was halted just before publication. In it, Li justifies many of his most vilified acts and emphasizes that it was a group decision to enter the square. ",Li Peng,http://blockedonweibo.tumblr.com/post/54104611291/every-month-bird-is-code-for-li-peng-premier-china,,
论八九民运,On June incident,,,Tiananmen Square (June 4 1989),http://blog.boxun.com/hero/renquan/2_1.shtml,,
茉莉花 革命,Jasmine Revolution,,,Jasmine Revolution,,,
李鹏 病重,Li ill,Li Peng seriously ill,"Controversial top leader in CCP who advocated for the crackdown on Tiananmen demostrators, among other unpopular decisions.",CPC member / Gov official,,,
济南小偷新疆,Jinan thief Xinjiang,"Jinan, petty thief (or young thief?), Xinjiang",related to perhaps one of the following stories in the following list of sources,Context unclear,http://q.sohu.com/forum/12/topic/376588,http://www.dzwww.com/dzwyc/ycnews/yc/201009/t20100914_5843861.htm,http://news.iqilu.com/shandong/kejiaoshehui/20110527/478456.shtml
严重冲突乌鲁木齐,Serious conflict in Urumqi,,,Urumqi Riots,,,
军队镇压维人,Peacekeeping troops to suppress the people,,Tiananmen or a reference to Uyghur protest?,Context unclear,http://bbs.tianya.cn/post-worldlook-223556-1.shtml,,
劳教所迫害,Labor camp persecution,"labor camp, persecuted",Falun Gong related?,Religion -- Falun Gong,http://www.minghui.org/mh/articles/2014/4/22/%E9%81%AD%E9%A9%AC%E4%B8%89%E5%AE%B6%E5%8A%B3%E6%95%99%E6%89%80%E8%BF%AB%E5%AE%B3-%E8%BE%BD%E5%AE%81%E4%B8%B9%E4%B8%9C%E5%B8%82%E5%A7%9C%E5%87%A4%E8%8B%B1%E5%90%AB%E5%86%A4%E7%A6%BB%E4%B8%96-290343.html,,
摘取法活体,Removal method in vivo,"take out, Fa[lun Gong], living body",,Religion -- Falun Gong,,,
老江的人马,Laojiangdi troops,,"refers to Jiang Zemin's so-called ""Shanghai clique/gang"", which owed Jiang their loyalty for elevating them to positions of power",Communist Party of China (CPC) -- Criticism,,,
政 治 局 常 委 腐 败,Standing Committee of the Political Bureau of Corruption,,,Communist Party of China (CPC) -- Criticism,,,
太子薄,Prince thin,princeling Bo,"Bo Guagua, Bo Xilai's son",Bo Xilai Scandal,,,
中共重大丑闻,CCP major scandal,,,Corruption Scandals,,,
薄.熙.来自杀,Thin. Hee . To commit suicide,Bo Xilai suicide,rumor,Bo Xilai Scandal,,,
鲍洪俊 受贿,Bao Hongjun bribery,,Zhejiang Deputy Minister of Provincial Propaganda Ctte,Corruption Scandals,http://holdtry.com/bbs-10-544176.html,http://zj.china.com.cn/news/heb/89641.html,
中央争权夺利,Central struggle for power,Communist Party power struggle,,Communist Party of China (CPC) -- Criticism,,,
常委与权斗,Standing to the right to fight,Standing Committee power struggle,,Communist Party of China (CPC) -- Criticism,,,
防和谐器 软体,Anti harmonious browser software,"Anti ""hexie"" [eg censorship] software",Website that swaps out known sensitive keywords with coded words. Might also refer to other circumvention tools.,Censorship,http://fanghexie.sinaapp.com/,,
总理 手表,Premier Watch,"Premier, wristwatch","Fan Jiyue (范继跃): Lushan County Party Secretary Fan Jiyue was seen inspecting the disaster zone with Prime Minister Li Keqiang [zh]. Savvy netizens, quick to catch signs of luxurious lifestyles in these photo opportunities, noticed Fan’s distinct watch tan, then dug up older photos of him wearing a watch on the same arm. (CDT)",Corruption Scandals,http://chinadigitaltimes.net/2013/04/sensitive-words-sichuan-earthquake-xi-jinping/,http://home.blshe.com/blog.php?uid=8372&id=101087,http://luxury.sohu.com/20130730/n382946326.shtml
共唐柏桥,Total Tang Baiqiao,"Communist Party, Tang Baiqiao",Tang Baiqiao is a Chinese political dissident from Hunan province who led student protests during the 1989 democracy movement. (Wikipedia),Dissident / Activist,,,
中共盛雪女士,Ms. Sheng Xue CCP,"Communist Party, Sheng Xue, woman","Pen name of Zang Xihong, a Canadian journalist and writer, and human rights activist. Associated with Falun Gong?",Dissident / Activist,,,
曾.庆.红,Once . Celebrate Red,,"Zeng Qinghong was member of Polibitburo Standing Ctte and ally of Jiang. In 2010 Zeng Qinghong's son, Zeng Wei used millions of dollars to buy an Australian property which caught up by the media. (Wikipedia)",CPC member / Gov official,http://en.wikipedia.org/wiki/Zeng_Qinghong,http://dailynews.sina.com/gb/chn/chnnews/ausdaily/20130618/16494653020.html,
策划中共,CCP planning,"scheme, CCP",,Communist Party of China (CPC) -- Criticism,,,
政治杀手一九八九,Political killer one thousand nine hundred eighty-nine,"Politics, murder, 1989",,Tiananmen Square (June 4 1989),,,
推翻中国共产党,To overthrow the Chinese Communist Party,,,Communist Party of China (CPC) -- Criticism,,,
贺 车祸,HE accident,,Not sure which He (surname) this refers to,Person Identity / Context Unclear,,,
单增德,Monocytogenes Germany,Shan Zengde,"""The disciplinary body of east China's Shandong Province is investigating an agriculture official after his hand-written promise to his mistress that he will divorce his wife was posted online.""",Corruption Scandals,http://www.china.org.cn/china/2012-11/30/content_27281633.htm,,
夫人 钻石恒久远,Mrs. A diamond is forever,,"Apparently some sort of sing-songy insult about Wen Jiabao's wife, who is in the diamond business (溫家寶家族︰夫人鑽石恆久遠，公子衛星布滿天); the second half of that is the below mention of Wen's son's satellite business",Relatives / Associates of Government Officials,http://bbs.creaders.net/politics/bbsviewer.php?trd_id=689882&language=big5,,
公子 卫星布满天,Satellite full day son,"Son of high official, satellite, announce fill the skies?","refers to Wen Jiabao son, Wen Yunsong, who after he was named chairman at a satellite communications company, the company's stock rose dramatically because everyone assumed he would be able to increase revenues based on his connections",Relatives / Associates of Government Officials,http://blogs.wsj.com/deals/2012/02/24/china-premiers-son-propels-satellite-stock/,,
国母 习夫人,Xi lady mother country,,"refers to Peng Liyuan, wife of Xi Jinping",Relatives / Associates of Government Officials,,,
李鹏之子李小鹏,Li 's son Li Xiaopeng,"Li Peng's son, Li Xiaopeng","Formerly the President of China Huaneng Group and Huaneng Power International, Li currently serves as the acting Governor of Shanxi.",Relatives / Associates of Government Officials,,,
胡 温无能,Hu Wen incompetence,,,Communist Party of China (CPC) -- Criticism,,,
政权内幕,Regime insider,,,Communist Party of China (CPC) -- Criticism,,,
交易内幕,Insider Trading,,Has to do with corrupt business dealings,Corruption Scandals,,,
四环 保福寺 车祸,Baofu Temple Fourth Ring road accident,"Fourth Ring, Baofusi, Car accident","Ling Jihua's son's car accident near Baofusi bridge, on Beijing's fourth ring road",Ferrari Crash (March 2012),,,
俞正声,Yu,Yu Zhengsheng,notable CCP leader whose career might be derailed by allegations that he shared a misstress and corruption,CPC member / Gov official,http://www.brookings.edu/about/centers/china/top-future-leaders/yu_zhengsheng,,
胡锦涛之子,Hu Jintao 's son,,"Hu Haifeng, son of Hu Jintao, is head of company that has near monopoly on selling security scanners to Chinese airports. Company was charged with corruption by Namibian government.",Relatives / Associates of Government Officials,,,
