word,human_translation,machine_translation,clients
89年春夏也发生了一场政治风波,,"Also occurred in the spring and summer of 1989, a political storm",YY
beijingzhengzhi风波,,beijingzhengzhi storm,YY
19八9事件,,19 eight nine events,YY
学chao事件,,Learn chao event,YY
8964学运,,8964 student movement,YY
学运人士回国受阻零九比零八更敏感,,Who returned to the student movement is blocked and nine and eight more sensitive than,YY
学运人士,,Student movement who,YY
六四纪念活动,,Sixty-four commemoration,YY
八九年动乱,,2089 unrest,YY
欺骗公共舆论和国家权力机关的谎言,Text found in a letter related to June 4,Lies to deceive public opinion and the national authorities of the,YY
澄清邓小平李鹏和前北京市市长陈希同制造的谎言,,Clarification of Deng Xiaoping and former Beijing Mayor Chen Li fabrication of lies,YY
1989年暴力事件中的受害者给予道歉和补偿,,1989 violence victims to give an apology and compensation,YY
追究邓小平和李鹏及各级军政人员伤害公民暴行的违法责任,,Deng Xiaoping and Li Peng pursue military personnel at all levels of responsibility for harm citizens and illegal atrocities,YY
制度的创建者及其执行者应对此负主要责任,Text found in pieces referencing Tiananmen,Creator and executive system should have to bear the main responsibility,YY
北京发生了一场令后人扼腕揪心的悲剧,,Beijing has occurred so that future generations from becoming a wrenching tragedy,YY
将六四和解作为一个重要议题提交两会讨论,,Sixty-four reconciliation will submit two sessions as an important topic to discuss,YY
全面公布六四真相,,Full disclosure of Tiananmen,YY
公开政府解决六四和解问题的方案,,Open government plan to solve the problem of reconciliation sixty-four,YY
开展纪念六四活动,,Memorial Activities undertaken,YY
恢复因六四原因而流落在外的中国公民,,Recovery due to reasons sixty-four citizens living outside of China,YY
开启六四事件的真相与和解行动,,Open the Truth and Reconciliation Action Tiananmen incident,YY
在国家制度方面中国走上了一条现已被证明完全错误的道路,,In the country embarked on a Chinese regime has now been proved completely wrong road,YY
89年的春夏之交由于各种复杂的国内国际原因北京发生了一场,,Spring and summer of 1989 as a result of a variety of complex domestic and international reasons for the occurrence of a Beijing,YY
广场上坦克下的冤魂,,Innocent people under the square tank,YY
五加一四运动,,Five plus fourteen sports,YY
一党专制一手制造的大悲剧,,One-party authoritarian single-handedly created the great tragedy,YY
六四问题不解决全中国谈不上以人为本,,Sixty-four problem is not resolved not to mention all the Chinese people-oriented,YY
官权践踏民权权力垄断财富权力制造谎言权力维护黑暗,[related to Bao Tong's report on Tiananmen],The right to trample on civil rights official monopoly power to maintain the power of wealth lies dark power manufacturing,YY
六四的受害者,,June Fourth victims,YY
8九年春夏之交,,"8 hrs, spring and summer",YY
只要全国人大代表中仍然存在着共产党的诤友和有良知的共产党人,[related to Bao Tong's report on Tiananmen],As long as there are still NPC friends of the Communist Party and the Communists with a conscience,YY
驳回陈希同代表李鹏所作的报告撤销人大常委1989年七月决议,,Li Chen Xitong representative dismissed reports of withdrawal by the Standing Committee in July 1989 resolution,YY
中国的黑箱和腐败贫富鸿沟和城乡壁垒,[related to Bao Tong's report on Tiananmen],China's black box and the gap between rich and poor and urban and rural barriers corruption,YY
邓小平调集几十万国防军以坦克和冲锋枪镇压,,Deng Xiaoping mobilized hundreds of thousands of IDF tanks and machine guns to suppress,YY
为建立民主反对腐败而进行和平请愿的学生和市民,[Bao Tong quote],For the establishment of a democratic and peaceful petition against corruption students and citizens,YY
八九年民主运动,,2089 Democracy Movement,YY
six4事件,,six4 event,YY
六四shijian,,Sixty-four shijian,YY
89protestsinTiananmenSquare,,,YY
89年邓小平等屠杀市民暴行书,,"89 years of Deng Xiaoping, the public outrage Holocaust book",YY
向前军委主席邓小平谎报北京发生了暴乱,,CMC Chairman Deng Xiaoping forward lied Beijing riots occurred,YY
邓小平和前国务院总理李鹏滥用国家暴力,,Deng Xiaoping and former Premier Li Peng abuse of state violence,YY
邓小平接见戒严部队军,http://zh.wikipedia.org/wiki/1989%E5%B9%B46%E6%9C%889%E6%97%A5%E9%82%93%E5%B0%8F%E5%B9%B3%E8%AE%B2%E8%AF%9D,Deng Xiaoping met with the troops Army,YY
89年首都北京暴力事件,,89 years of violence in the capital Beijing,YY
中国首都北京的暴力事件是前军委主席,,Violence in the Chinese capital Beijing is the former Chairman of the Central Military Commission,YY
世界日报报道当时国家主席杨尚昆在接见海外华人说有六百多人死亡,,At that time the country met with President of the World Journal reported that Yang Shangkun overseas Chinese say 600 people have died in,YY
全国人大常委胡绩伟已经联名其他人大常委数十人正式提出召开特别人代,,National People's Congress Standing Committee of the NPC Standing Committee Hu Jiwei have signed dozens of other people who formally proposed to convene a special generation,YY
当时北京市民的政治诉求是要求召开特别人代会撤消戒严令,,Beijing was the political aspirations of the people is to ask the National People's Congress held a special revocation of martial law,YY
中国军队大规模使用对敌作战武器对和平居民进行屠杀,,Chinese large-scale military operations against the enemy use of weapons massacre of peaceful residents,YY
在提交给全国人大的报告及其他各种场合声称北京发生了反革命暴乱,,In a report submitted to the National People's Congress and other various occasions claimed that Beijing has occurred counterrevolutionary riot,YY
军队屠杀和平学生和市民之前北京并没有发生所谓暴乱,,Beijing did not happen before the so-called riot troops massacred peaceful students and citizens,YY
中国军队采取大规模战争方式在抢占天安门广场为中心的重要地点的过程,,Chinese army to take large-scale warfare in Tiananmen Square to seize an important location for the center of the process,YY
中国军队的暴行及后果激怒了北京市民,,Chinese military atrocities and consequences angered Beijing residents,YY
中国军队可能使用被国际社会禁止在职业军人战争中使用的达姆弹,,Chinese military may use prohibited by the international community in a professional soldier in the war used dumdum,YY
强迫各国家机关对1989年事件所做出的各项错误决议和文件,,Forcing national authorities in 1989 made the error event resolutions and documents,YY
香港网友提出平反六四,,Hong Kong netizens proposed vindication,YY
六四死难者家属向两会代表和委员发出公开信,,June 4 victims' families and members of the NPC issued an open letter,YY
外媒提六四问题央视新华社全封杀,,Foreign media mention sixty-four CCTV Xinhua News Agency-wide ban issue,YY
关于六四真相与和解的建议书,,Recommendations on Tiananmen and reconciliation,YY
漤用军队屠杀和平市民的暴行,,Lan army massacred peaceful citizens with atrocities,YY
中国走上了一条现已被证明完全错误的道路,,China embarked on a now proven completely wrong road,YY
查处邓小平等人漤用军队屠杀和平市民的暴行,,"Lan Deng Xiaoping, who investigated the massacre peaceful citizens with military atrocities",YY
1989年6月3日军队屠杀和平学生和市民,,"June 3, 1989 army massacre of students and the public peace",YY
亲历六四事件的中国维权人士,,June incident witnessed the Chinese activist,YY
1989年6月3日及之后数日在北京发生的暴力事件,,"Violence occurred June 3, 1989, and after a few days in Beijing",YY
六部口追杀学生撤离队伍的三辆坦克,,Mouth kill six student teams to evacuate three tanks,YY
屠杀之夜非常狠在广场以南的天桥珠市口前门一带杀人,,Night very ruthless massacre in the south of the bridge plaza Zhushikou Qianmen area homicide,YY
6月4日的事件,,Events of June 4,YY
声援5千万勇士退出中共游行,,Solidarity with the 50 million warriors quit the CCP parade,YY
天安门广场骚乱,,Tiananmen Square riots,YY
89年进京执行戒严任务,,89 years of martial law in Beijing to perform tasks,YY
BJ政治风波,,BJ political storm,YY
89nian06yue04ri,,,YY
八九年面对坦克和机枪,,2089 Faced with tanks and machine guns,YY
6月4日Zhengya事件,,June 4 incident Zhengya,YY
六四Tusha,,Sixty-four Tusha,YY
JIUPING共产党,,Communist JIUPING,YY
北京学生以静坐绝食行动来争取民主,,Beijing students to sit-in hunger strike to fight for democracy,YY
北京进入戒严的第四天百万人民今天下午举行示威游行,,Beijing million people entered the fourth day of martial held demonstrations this afternoon,YY
8964邓屠,,8964 Deng Tu,YY
三退服务点,,Three points back service,YY
中共镇压流四学生,,Communist repression stream four students,YY
天安门广场的事件,,Tiananmen Square events,YY
二千多人死于六四,,Two thousand people died sixty-four,YY
liusishijian,,,YY
bajiudongluan,,,YY
中共主要在北京长安街上杀人,,CCP main murder Chang'an Avenue in Beijing,YY
八九民运人士,,June incident people,YY
重新评价1989年天安门,,Re-evaluation of the 1989 Tiananmen Square,YY
特种作战部队士兵冲上人民英雄纪念碑驱赶学生,,Special Operations troops expelled students rushed the People's Heroes Monument,YY
大屠杀后军队在人民大会堂外列阵警戒,,After the massacre at the Great Hall of the army outside the array alert,YY
查清零八县长源头,,Identify the source and eight county,YY
六四屠殺,,4 June massacre,YY
捌玖事件,,Jiu Ba event,YY
捌玖年春夏之交,,Jiu Ba spring and summer,YY
捌玖年的雪潮,,Jiu Ba tide in snow,YY
19捌玖9年民主云动,,19 Ba Jiu cloud nine years of democratic action,YY
解放军在天X门开枪杀学生,,People's Liberation Army in the days of X door open shot student,YY
陆肆政治风波,,Lusi political storm,YY
appearanceofDemocracyWallinbei,,,YY
studentswhoinstigatedtheprotests,,,YY
6肆事件,,6 store events,YY
你们何必当年的坦克嚣张20年了,,Why your tank arrogance year for 20 years,YY
20周年纪念活动遭到北京当局蛮横的封杀,,20 anniversary of the Beijing authorities were outrageous ban,YY
陆4事件,,Lu 4 Event,YY
陆4以后我国出台了中华人民共和国集会游行示威法,,"4 After the People's Republic of China issued a land of Assemblies, Processions and Demonstrations",YY
liusi政治运动,,liusi political movement,YY
1989年中共调动军队进入北京镇压,,1989 Communist forces entered Beijing mobilized repression,YY
6四风波,,6 four storm,YY
数以万计的示威者占据天安门广场,,Tens of thousands of protesters occupied Tiananmen Square,YY
那场血腥的镇压和示威者们的结局,,That bloody repression and demonstrators outcome,YY
对八十年代时的民运斗争知之有限,,On the pro-democracy struggle during the eighties with limited knowledge,YY
温家宝就站在赵紫阳的身后,,Wen standing behind Zhao Ziyang,YY
天安门广场上手持话筒呼吁学生停止绝食,,Tiananmen Square handset appeal to students to stop hunger strike,YY
中国政府使用军警对学生运动进行武力镇压,,Chinese government to use the military and police force to suppress the student movement,YY
赵紫阳因为同情学生运动,,Zhao sympathy student movement,YY
八九年支持学生的民主运动,,2089 student democracy movement support,YY
为64平反,,64 vindicated,YY
当年64绝食,,64 year hunger strike,YY
香港的朱耀明牧师等人发起,[more about exiled June 4 dissidents wanting to return to China],"Hong Kong CHU Yiu-ming, who initiated priest",YY
将超过40位流亡人士的心声结集成书,[more about exiled June 4 dissidents wanting to return to China],The voices of more than 40 books exiles end integration,YY
流亡海外民运人士我们要回家,[more about exiled June 4 dissidents wanting to return to China],Pro-democracy activists in exile we want to go home,YY
89年学运风波,,1989 student movement storm,YY
六四当年组织学生民主运动,,Sixty-four year student democracy movement organization,YY
六四图片展,,Sixty-four exhibition,YY
纪念六四委员会,,Memorial sixty-four Committee,YY
大学生四二七大游行,,Students April 27 March,YY
绝食的八百多学生在天安门广场,,More than eight hundred students on hunger strike in Tiananmen Square,YY
装甲车冲进天安门广场清场,,Armored vehicles stormed cleared Tiananmen Square,YY
军队以机枪坦克对付民众北京城鬼哭神嚎,,Army tanks to deal with people with machine guns Beijing Amityville Horror,YY
枪口指向人民英雄纪念碑下的学生,,Muzzle pointing to students under the People's Heroes Monument,YY
广场上的学生抬着中弹同伴送到医院抢救,,Student shot on the square carrying companion to hospital,YY
天安门政治风波,,Tiananmen political storm,YY
8964大屠杀20周年,,20th anniversary of the 8964 massacre,YY
四日凌晨军队以机枪坦克对付民众,,24 am on army tanks to deal with people with guns,YY
最后装甲车冲进天安门广场清场,,Finally armored vehicles stormed cleared Tiananmen Square,YY
六四二十年后,,Six hundred forty-two years later,YY
中共对在八九运动,,Chinese Communist Party in the 1989 movement,YY
1989年SIX4,,1989 SIX4,YY
89年的春末没死一个学生,,The late spring of 1989 did not die of a student,YY
89年北京政治風波,,Beijing 89 years of political turmoil,YY
坦克冲进了广场枪口对准了年轻的胸膛,,Tanks stormed the square at gunpoint young chest,YY
让那自由的火把仍能回到这广场我们坚决不后退,,Let the torch of freedom can still come back to this square we are determined not to retreat,YY
无情的军车辗碎我们的躯体它却唤醒了亿万人,,Ruthless military vehicles crushed our bodies it awakened millions of people,YY
在绝食的日子里我们曾经立下誓言我们坚决不后退,,In the days of hunger strike we have vowed that we are determined not to retreat,YY
北京事件真相,,Beijing truth,YY
天安门的事件,,Tiananmen events,YY
89天安门,,89 Tiananmen,YY
门屠杀20周年,,20th anniversary of the massacre door,YY
李鹏宣布北京实施戒严,,Li Peng declared martial law Beijing,YY
6月4日凌晨的流血清场而结束,,Blood clearance June 4 early morning and ends,YY
8000余人要求与总理李鹏谈判,,"More than 8,000 people require negotiations with Prime Minister Li Peng",YY
知识分子要求中共放弃武力,,Communist intellectuals request to renounce violence,YY
北京市学生发起民主运动,,Beijing student democracy movement launched,YY
万人在天安门广场示威,,Thousand demonstrators in Tiananmen Square,YY
89年陆肆,,89 years Lusi,YY
天安门广场屠杀学生,,Tiananmen Square massacre of students,YY
中国人民向中国独裁政权施压,,People put pressure on China to Chinese dictatorship,YY
六四政府屠杀大学生惨案,,Students sixty-four government massacre massacre,YY
屠杀给政权合法性和邓本人的声誉带来的巨大损失,,Deng massacre to legitimacy and reputation I brought huge losses,YY
从六四到法轮,,From sixty-four to Falun,YY
89年的天安门,,89 years of Tiananmen,YY
天安门广场绝食,,Hunger strike in Tiananmen Square,YY
89年大学生暴动,,Students riot 89 years,YY
89年那场著名的事件,,89 years that famous event,YY
1989二十周年,,The twentieth anniversary of 1989,YY
北京学潮,,Beijing student movement,YY
89年那个事件,,89 years of the event,YY
89年坦克履带下的骨骸,,Bones under 89 years of tank track,YY
六四事件20周年,,20th anniversary of the Tiananmen incident,YY
当年学生反腐败要民主的血迹,,When the student anti-corruption want democracy blood,YY
少数权贵们因为镇压了学生手上有学生的血害怕人民清算,,Few dignitaries since the suppression of the student hands the blood of some students fear the people of liquidation,YY
纪念二十年前为中国民主献出生命的学生,,"Memorial for democracy in China twenty years ago, the students lost their lives",YY
纪念八平方,,Memorial eight square,YY
八平方运动,,Eight square movement,YY
重大影响的事件主要是某四事件,,The main event is a significant impact on the four events,YY
6四事件,,6 four events,YY
是动乱吗我们罢课我们游行我们绝食,,It strikes us that the unrest we march our hunger strike,YY
用生命写成的誓言必将晴朗共和国的天空,,Sky with his life written oath bound sunny Republic,YY
在这个阳光灿烂的五月我们绝食了,,In this sunny May we hunger strike,YY
申请游行并通过海外媒体揭露中共的真面目,,Parade application and expose the true face of the CCP by overseas media,YY
六月四号一起去示威去静坐要求多党民主,,June 4 protesters went to the sit-in requirements of multi-party democracy,YY
想要与官员平等人权的中国人民六月四号时必须站出来,,Officials want equality and human rights of the Chinese people must stand up when June 4,YY
二十年前的八平方,,"Twenty years ago, eight square",YY
八平方案的二十周年,,The twentieth anniversary of the eight level program,YY
二十年前学生运动,,"Twenty years ago, the student movement",YY
二十年前八平方,,"Twenty years ago, eight square",YY
八平方纪念日,,Eight square Day,YY
八九年的学生运动,,2089 student movement,YY
天安门广场大屠杀20年周年,,20-year anniversary of the Tiananmen Square massacre,YY
1989年民主抗议活动,,1989 democracy protests,YY
89邓小平平息政治风波,,89 Deng Xiaoping quell political turmoil,YY
六4学生人血馒头,,Six four students were blood bread,YY
悄然流传8964影片,,8964 movie quietly spread,YY
纪念六四20周年,,To commemorate the 20th anniversary of Tiananmen,YY
解放后被中共屠杀的学生,,After the liberation of the Chinese Communists were massacred students,YY
镇压行动中陆军第38集团军最卖力杀人最多,,Army crackdown Army hardest to kill up to 38,YY
屠杀的第63集团军被取消番号,,Army massacred 63 designation is canceled,YY
20thanniversaryoftheJune4,,,YY
June41989,,,YY
一九八九年动用军队维权保命,,1989 to use military force to protect life activist,YY
六四不平反统一不能谈,,Sixty-four can not talk about unity without vindication,YY
那场运动的领导人王丹,,That movement leader Wang Dan,YY
89年那个血腥的六月,,89 years of the bloody June,YY
纪念六四二十周年,,Commemorate the twentieth anniversary of the Tiananmen,YY
89年夏季的学潮,,1989 Summer Student Strike,YY
邓小平扼杀了中国什么前景,,What killed the prospects of China Deng Xiaoping,YY
纪念64是民运人士的专利,,Memorial 64 patent democrats,YY
64死难者当年逃避堕落胜于逃避死亡,,64 year to escape the fallen victims than escape death,YY
6月4日凌晨解放军開進北京城,,June 4th People's Liberation Army entered Beijing early morning,YY
中共領導層的矛盾亦日益突顯最終趙紫陽下台,,CPC also contradictory to highlight the growing leadership to step down eventually Zhao Ziyang,YY
六四伤残者,,Sixty-four handicapped,YY
1989年的示威者被囚禁,,1989 demonstrators imprisoned,YY
8964学生大游行20周年,,8964 20th Anniversary Parade Student,YY
六4事件二十周年,,The twentieth anniversary of six 4 Event,YY
1989年6月政治风波,,June 1989 political turmoil,YY
呼吁为六四平反,,June 4 appealed vindicated,YY
血腥镇压了六四,,Bloody crackdown sixty-four,YY
为六四平反,,June 4 vindication,YY
文革六四打压民间宗教活动与维权运动,,Revolution sixty-four suppress civil rights movement and religious activities,YY
用装满颜料的鸡蛋毁坏天安门城楼的毛泽东画像,,Destruction of eggs filled with paint Tiananmen Square portrait of Mao Zedong,YY
绝食是希望党和政府对你们所提出的问题,,The hunger strike is to the party and the government on the issue you raised,YY
有军长级干部因拒绝执行戒严令而被撤职,,Commander-level cadres have refused to implement martial law due to be dismissed,YY
李鹏讲话传单引起了广场上学生,,Li speech leaflets caused the square students,YY
天安门广场上支起了一批从全国各地捐赠来的新帐篷,,Support from a number of the Tiananmen Square donations from all over the country to a new tent,YY
静坐学生开始安装大型塑像民主女神,,Students began a sit-install large statue of the Goddess of Democracy,YY
民主女神被安放在人民英雄纪念碑北侧,,"Goddess of Democracy, was placed in the north of the People's Heroes Monument",YY
解放军枪杀了数目不详的北京市民,,People's Liberation Army shot and killed an unknown number of Beijing residents,YY
杨尚昆旗下的军队因为拒绝执行任务,,Yang Shangkun army's refusal to perform the task,YY
外地调来的军队在长安大街对峙,,Transferred to the army in the field Chang'an Avenue confrontation,YY
装甲车甚至辗死那些面对反抗的群众而犹豫不前的步兵,,Even those who face death armored vehicles rolling resistance of the masses but balked infantry,YY
天安门广场上的屠杀,,Tiananmen Square massacre,YY
纪录片天安門,,Documentary Tiananmen,YY
天安门广场的学生生大多已经听到镇压的枪声,,Most students have heard students in Tiananmen Square crackdown of gunfire,YY
学生聚集在人民大会堂前静坐要求人大常委接见,,Students gathered in front of the Great Hall of the Standing Committee met with the sit,YY
六四前后最高当局决策,,The highest authorities of the decision-making before and after Tiananmen,YY
中国六四真相,,China Tiananmen,YY
天安门的自焚真相录像,,The truth of the Tiananmen self-immolation video,YY
赵紫阳向大会写公开信要求重评六四,,Zhao wrote an open letter to the General Assembly requires re-evaluation sixty-four,YY
天安门的自焚真相,,Tiananmen Square self-immolation truth,YY
明年最敏感的日子六月四日,,June 4 next year most sensitive day,YY
高校数百名学生到天安门广场进行绝食,,Hundreds of college students on hunger strike in Tiananmen Square,YY
戒严部队开始对天安门广场实行清场,,Began to implement martial law troops cleared Tiananmen Square,YY
90年代初国内国际发生重大的政治风波,,Major political crisis occurred in the early 1990s domestic and international,YY
六四的教训是中国需要政治改革,,June Fourth lesson is that China needs political reform,YY
89年镇压学生,,89 years of suppression of the student,YY
六four事件,,Six four events,YY
六四歌曲,,Sixty-four songs,YY
中国发生了六四,,China has undergone sixty-four,YY
六四死亡人数,,Sixty-four deaths,YY
一九八玖六肆,,Nine six one hundred ninety-eight store,YY
抓紧三退,,Seize three back,YY
被逼静坐校方警方进行暴力镇压,,Police were forced to sit-school violent crackdown,YY
九十年代初国内发生严重政治风波,,Early nineties serious domestic political turmoil,YY
89年中国发生了政治风波,,China has undergone 89 years of political turmoil,YY
六四的民主斗士,,June Fourth fighter for democracy,YY
六四民主斗士,,Sixty-four fighter for democracy,YY
89年TianAnMen事件,,89 years TianAnMen event,YY
六四的口号是反官倒,,June Fourth slogan is anti-profiteering,YY
以反腐败和反官倒来爱国,,Anti-corruption and anti-profiteering to be patriotic,YY
邓小平屠杀学生,,Deng Xiaoping's massacre of students,YY
邓小平屠杀大学生,,Deng Xiaoping's massacre Students,YY
89年的国内政治风波,,89 years of domestic political turmoil,YY
六四前夕,,Eve of 4 June,YY
八9风波,,Eight 9 storm,YY
八9十年代之交风波,,Eight nine ten generations turn of the storm,YY
八9年春夏之交,,Eight 9-year spring and summer,YY
北京发生政治dong乱,,Beijing occur dong political chaos,YY
90年代初国际国内政治风波,,In the early 1990s the international and domestic political turmoil,YY
90年代初国内发生了严重政治风波,,In the early 1990s there was a serious domestic political crisis,YY
六四的学潮,,June Fourth student movement,YY
游行悼念六四,,June 4th memorial parade,YY
在北京天安门广场反腐败,,Anti-Corruption in Beijing's Tiananmen Square,YY
89年大学生在北京天安门,,89 university students in Beijing's Tiananmen Square,YY
8964过后,,After 8964,YY
89年暴力镇压民主,,89 years of violent repression of democracy,YY
89年学生运动遭到镇压,,1989 student movement was suppressed,YY
接见首都戒严部队,,Capital met the troops,YY
8玖政治风波,,8 Nine political storm,YY
毋忘陆肆,,Lusi not forgotten,YY
89年的六四,,89 June 4,YY
民运大会论六四,,Assembly on the pro-democracy movement sixty-four,YY
六四颁发的通缉令,,Sixty-four arrest warrant issued,YY
8964的惨痛,,8964 painful,YY
将闹事的学生用圈子围起来集体枪毙,,The rioting students circle surrounded by a collective shot,YY
由国家领导人发起的残害学生的事件,,Sponsored by state leaders mutilation student events,YY
天安门广场的学潮,,Tiananmen Square student protests,YY
八九年闹腾民运,,2089 pro-democracy movement naughty,YY
八9年6四事件,,Eight nine six four-year event,YY
奉命血腥镇压的军人,,Ordered the bloody military crackdown,YY
何新关于64的演讲,,What about 64 new lecture,YY
北京64屠杀学生,,Beijing massacre of 64 students,YY
90年代初国内外政治风波,,Political turmoil at home and abroad in the early 1990s,YY
89六四学生罢课动乱,,"June 4, 1989 student strike unrest",YY
1989六四shijian,,1989 sixty-four shijian,YY
19八9年事件,,19 eight nine-year event,YY
89年民运,,1989 pro-democracy movement,YY
64学潮,,64 Student Strike,YY
到天安门广场探望绝食,,To visit a hunger strike in Tiananmen Square,YY
迴避六四问题,,Sixty-four avoid problems,YY
平反赵紫阳,,Vindication of Zhao Ziyang,YY
赵紫阳平反,,Zhao Ziyang vindicated,YY
为赵紫阳先生平反,,Vindication for Mr. Zhao Ziyang,YY
年六四期间,,During the June 4,YY
八九年陆是学潮,,Lu was a student strike in 2089,YY
八九年那场政治风波,,That political storm in 2089,YY
六四绝食,June 4 hunger strike,Sixty-four hunger strike,YY
赵紫阳到天安门广场探望学生,,Zhao's visit to Tiananmen Square student,YY
Tiananmensquarein1989,,,YY
探望绝食学生的照片,,Visit the student's photo on hunger strike,YY
电脑中输入天安门广场的字眼,,Enter the word Tiananmen computer,YY
8964的坦克和机枪,,8964 tanks and machine guns,YY
89六四闹事,,"June 4, 1989 trouble",YY
八九年反腐学潮,,2089 Student Strike Corruption,YY
六四反腐败学潮,,Sixty-four student movement against corruption,YY
天安门母亲,,Tiananmen Mothers,YY
八九年政治活动,,Political events in 2089,YY
天安门开坦克压制学生思潮,,Tiananmen open tanks to suppress the students thought,YY
六四民主大游行,,Sixty-four democracy Parade,YY
八九年闹学潮,,2089 student strike,YY
liusi事件的学生,,Students liusi events,YY
天安门zifen,,Tiananmen zifen,YY
八九年动乱事件,,2089 unrest,YY
89年大陆民运,,89-year pro mainland,YY
把酒学潮,,Wine student protests,YY
今天是六四纪念日,,"Today, June 4 anniversary",YY
今天是六四死难日,,Today is the day June 4 victims,YY
89年六四中G开枪ZHENYA学生市民,,89 June 4 in G shot ZHENYA student community,YY
屠夫邓小平,,Butcher Deng Xiaoping,YY
89年闹学潮,,1989 student strike,YY
六四纪念文集,,Sixty-four Festschrift,YY
学生运动遭到残酷的军事镇压,,Student movement was brutal military crackdown,YY
天安门的学生运动,,Tiananmen student movement,YY
对天安门广场上静坐的学生,,Sit on the Tiananmen Square student,YY
游行队伍的口号也开始转向邓,,The procession began turning Deng slogan,YY
血染了天安门,,Bloody Tiananmen Square,YY
六四游行,June 4 parade,Sixty-four parade,YY; LINE
六四流血惨案,,Sixty-four bloody massacre,YY
89年5月奉命进京执行戒严任务,,Beijing on May 89 ordered the implementation of martial law mission,YY
80年代末90年代初国内发生政治风波,http://news.xinhuanet.com/politics/2008-09/08/content_9849759.htm,"Late 1980s and early 1990s, the occurrence of domestic political turmoil",YY
鹏答应政府调查官倒和贪污,,Peng government promised to investigate profiteering and corruption,YY
天安门广场绝食反对贪污,,Tiananmen Square hunger strike against corruption and,YY
李鹏会对学生代表秋后算帐,,Li will have a grudge against a student representative,YY
全体学生撤出天安门广场,,The withdrawal of all the students in Tiananmen Square,YY
64学生领袖,,64 student leaders,YY
留在天安门广场上学生们可能会流血,,Stay on the Tiananmen Square student may bleed,YY
戒严部队要进行武装清场,,The troops to be armed clearance,YY
指挥部成员立即撤出天安门广场,,Members of the immediate withdrawal of the Tiananmen Square headquarters,YY
戒严士兵又来到木樨地,,Martial soldiers went alba,YY
戒严士兵用冲锋枪开路大死学生,Person's name,Martial soldiers with submachine open large dead student,YY
89年的学生运动,,1989 student movement,YY
反对中央的独裁,,Central oppose dictatorship,YY
89年反腐败要民主,,89-year anti-corruption want democracy,YY
89年學潮,,89 years of student protests,YY
89年发生的政治风波,,89 years of political turmoil occurred,YY
6四的大动乱,,6 four major upheaval,YY
89年那一场风波,,89 years that a storm,YY
六二绝食宣言,,Sixty-two Hunger Strike Declaration,YY
tiananmen广场为声援民主运动,,tiananmen square for solidarity with the democratic movement,YY
历史的伤口1989,,Historical wounds 1989,YY
89运动温跟在赵后面,,89 campaign behind Zhao Wen told,YY
89年大屠杀,,1989 Massacre,YY
纪念六月四日,,Commemorate June 4,YY
北京城区周围的戒严部队奉命平息暴乱,,Beijing urban area surrounding the troops were ordered to quell riots,YY
戒严部队实行清场同时进驻天安门广场,,At the same time the implementation of martial law troops stationed cleared Tiananmen Square,YY
子弟兵的坦克车会从他身上压过去,,Army's tanks will be pressure in the past from him,YY
戒严部队同时进驻天安门广场,,Meanwhile the troops stationed in Tiananmen Square,YY
从反右到六四,,From a rightist sixty-four,YY
六四等近代史实,,"Sixty-four real modern history, etc.",YY
八九年的学潮记录片,,2089 student movement documentary,YY
胡温借64打压江,,Hu and Wen Jiang suppressed by 64,YY
天安门广场的学生领袖,,Tiananmen Square student leader,YY
赵紫阳前往广场探望学生,,Zhao Ziyang went to the square to visit students,YY
将之前的学生运动定性为反革命动乱,,Before the student movement characterized as counter-revolutionary upheaval,YY
政府召集军队武力镇压,,Government to convene military force to suppress,YY
解放军开入天安门广场进行血腥镇压,,People's Liberation Army into Tiananmen Square to open a bloody crackdown,YY
八九年天安门暴动,,2089 Tiananmen Square uprising,YY
天安门广场附发生公开抗议示威,,Attached to public protests in Tiananmen Square occurred,YY
89年64动乱,,89 years 64 unrest,YY
八九年血洗我莘莘学子,,2089 bloodbath my students,YY
北京88事件,,Beijing 88 events,YY
天安门广场上数百人被士兵开枪打死,,"Tiananmen Square, hundreds of people were shot and killed by soldiers",YY
八九年的政治风波,,2089 political turmoil,YY
六四天安门风波,,Tiananmen crisis,YY
1989MassacreinTiananmenSquare,,,YY
大学生北京绝食事件,,Students Beijing hunger strike,YY
八九六四压死的学生,,Eight thousand nine hundred sixty-four crushed student,YY
六四受难者,,Sixty-four sufferer,YY
京报刊六四照片,,Beijing newspapers sixty-four photo,YY
1989年政治风暴,,1989 political turmoil,YY
天安门学运,,Tiananmen student movement,YY
北京民运,,Beijing pro,YY
镇压民运,,Suppression of pro-democracy,YY
64学生运动,,64 student movement,YY
一九八九年民运,,1989 pro-democracy movement,YY
六四天網,,Tianwang,YY
天安门示威,,Tiananmen demonstrations,YY
目击者说有些装甲车甚至辗死那些面对反抗的群众而犹豫不前的步兵,"Wu'erkaixi (person's name, homonym)",Witnesses said some armored vehicles rolling even those people face death rather balked against infantry,YY
高校自治联合会,,Federation of University Autonomy,YY
采取非常手段压制了北京之春运动,,To take extraordinary measures to suppress the Beijing Spring movement,YY
六四风暴,,Sixty-four storm,YY
解放军开入天安门全面清场,,People's Liberation Army into Tiananmen Square to open fully cleared,YY
毋忘64,,Not to forget the 64,YY
六四学生爱国,,Sixty-four students'Patriotic,YY
